0.,1120.
1237.1578916657036,1099.
2741.728983658277,1078.
4830.074554239371,1078.
6679.586660363508,1026.
8281.125636580557,926.
9850.517642075783,902.
11692.45628662589,867.
13240.974307901764,829.
14755.41422598637,810.
16642.199987083342,768.
18288.97618728095,739.
20123.405419970877,695.
22720.7766451162,642.
24841.759250345727,599.
27649.171184277326,529.
30273.23910790045,492.
32066.12388830324,452.
34160.606300040745,388.
35715.04898251586,327.
37578.64355121847,294.
39222.64001937673,230.
40026.62024171866,211.
40767.36821800974,189.
41531.667919561776,155.
42352.07974861897,130.
43393.28304378048,65.
44521.582065160415,24.
45839.277085396214,9.
47646.186914846156,2.
49076.56741307763,0.
50896.0967682355,0.
52289.04439585954,-9.
